dataset_id,name,description,reaction_count,file
ord_dataset-00005539a1e04c809a9a78647bea649c,750 AstraZeneca ELN dataset,This dataset includes 750 Buchwald-Hartwig reactions generated from AstraZeneca ELN which is used in yield prediction work: 10.26434/chemrxiv.14589498.v2,750,data/00/ord_dataset-00005539a1e04c809a9a78647bea649c.parquet
ord_dataset-0316886541d9435489859c2ad7edc863,Styrene Mizoroki-Heck,"Mizoroki-Heck couplings with Ni and Pd, 4 x 96 well-plates, Newman 2023",96,data/03/ord_dataset-0316886541d9435489859c2ad7edc863.parquet
ord_dataset-0c75d67751634f0594b24b9f498b77c2,Shields Arylation,"Reactions from Shields, B.J., Stevens, J., Li, J. et al. Bayesian reaction optimization as a tool for chemical synthesis. Nature 590, 89–96 (2021). https://doi.org/10.1038/s41586-021-03213-y",256,data/0c/ord_dataset-0c75d67751634f0594b24b9f498b77c2.parquet
ord_dataset-10b940e7982c4622b1e1ac879394aba6,Imidazopyridines dataset,Data form a 3 component reaction approach towards diverse imidazopyridines,384,data/10/ord_dataset-10b940e7982c4622b1e1ac879394aba6.parquet
ord_dataset-1158e351757f315b93cbcbe7bc55f38e,uspto-grants,"Reactions extracted from USPTO granted patents (1976-present), originally distributed as monthly buckets and consolidated here into a single dataset. Per-reaction patent provenance is available via Reaction.provenance.patent.",1771032,data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet
ord_dataset-172039a759a440219a68af62d203b79b,Cernak miniaturized N-alkylation with BOC deprotection,"Miniaturized N-alkylation and BOC deprotection. From Time Cernak and Merck publication 10.1038/s44160-023-00351-1. Contains 96 alkylations with in situ BOC deprotection, which are a full factorial combination of 2 secondary amine cores, 12 electrophiles, and 4 bases. A further 8 control reactions (REACTION_TYPE = ""BOC deprotection"") test the BOC deprotection of the two core reactants in the presence of the 4 bases without electrophiles.",104,data/17/ord_dataset-172039a759a440219a68af62d203b79b.parquet
ord_dataset-1d3a1a6fb70d46c084602d0688967afc,1-octene Mizoroki-Heck,"Mizoroki-Heck couplings with Ni and Pd, 4 x 96 well-plates, Newman 2023",96,data/1d/ord_dataset-1d3a1a6fb70d46c084602d0688967afc.parquet
ord_dataset-1ec2807f02fa4beda27d2a81b86eb843,"Transient flow exploration of the effect of temperature, residence time and binary solvent ratios on a uni-molecular allyl substituted catechol reaction.","1,227 datapoints were collected in a series of transient flow ramps involving temperature [175 - 225 C], residence time [2 - 15 minutes] and binary solvent ratios of 24 solvents. HPLC yields reported for starting material and 2 products of the uni-molecular rearrangement of o-Bis(allyloxy)benzene. Reactions performed by SOLVE Chemistry in London (https://www.solvechemistry.com/) and published in https://doi.org/10.48550/arXiv.2506.07619.",1227,data/1e/ord_dataset-1ec2807f02fa4beda27d2a81b86eb843.parquet
ord_dataset-2038a3c967db4a32a8fbce288437e929,Reizman Suzuki Cross-Coupling,"Reactions from Reizman, et al. Suzuki–Miyaura cross-coupling optimization enabled by automated feedback. React. Chem. Eng., 2016,1, 658-666; https://doi.org/10.1039/C6RE00153J",96,data/20/ord_dataset-2038a3c967db4a32a8fbce288437e929.parquet
ord_dataset-2be11f57f3304e678ea8469baf6dd1bc,Cernak miniaturized reductive amination,"Miniaturized reductive aminations of staurosporine with aldehydes and ketones. From Time Cernak and Merck publication 10.1038/s44160-023-00351-1. Contains 2 subsets defined by 'experiment set', with 'optimisation' being a screen of 16 aldehydes/ketones and 48 reaction conditions, and 'library synthesis' being a screen of 48 aldehydes and 8 reaction conditions.",1152,data/2b/ord_dataset-2be11f57f3304e678ea8469baf6dd1bc.parquet
ord_dataset-2be30f5d8dcd471aa6ad410bdee05902,Reizman Suzuki Cross-Coupling,"Reactions from Reizman, et al. Suzuki–Miyaura cross-coupling optimization enabled by automated feedback. React. Chem. Eng., 2016,1, 658-666; https://doi.org/10.1039/C6RE00153J",97,data/2b/ord_dataset-2be30f5d8dcd471aa6ad410bdee05902.parquet
ord_dataset-31989f1b2b9d4885b1dd2d9982da4517,Reizman Suzuki Cross-Coupling,"Reactions from Reizman, et al. Suzuki–Miyaura cross-coupling optimization enabled by automated feedback. React. Chem. Eng., 2016,1, 658-666; https://doi.org/10.1039/C6RE00153J",96,data/31/ord_dataset-31989f1b2b9d4885b1dd2d9982da4517.parquet
ord_dataset-35a5a513f1dd44a3a97c88da99f81a00,Development of an automated kinetic profiling system with online HPLC for reaction optimization,Reactions from DOI: 10.1039/c9re00086k,7,data/35/ord_dataset-35a5a513f1dd44a3a97c88da99f81a00.parquet
ord_dataset-3b5db90e337942ea886b8f5bc5e3aa72,Ni-catalyzed Suzuki Miyaura cross-coupling,A nickel-catalyzed Suzuki-Miyaura cross-coupling reaction with various aryl chlorides and aryl boronic acids evaluated with phosphine ligands. From https://www.science.org/doi/10.1126/science.abj4213,450,data/3b/ord_dataset-3b5db90e337942ea886b8f5bc5e3aa72.parquet
